,Pclass,Sex,SibSp,log(Fare),Predicted Survived
193,2,0,0,2.513656063073986,0
194,2,0,0,3.481240089335692,0
195,3,0,0,2.061048420562944,0
196,1,0,0,4.901564199041894,1
197,3,1,0,2.0509134580652977,0
198,2,0,0,2.3513752571634776,0
199,3,1,0,2.0934060820302083,0
200,3,1,0,2.740840023925201,0
201,3,0,0,2.667228206581955,0
202,1,0,1,5.427260122463419,1
203,2,1,1,3.258096538021482,1
204,2,0,0,2.3513752571634776,0
205,1,0,0,3.2481122450531466,0
206,3,1,0,2.0476928433652555,1
207,2,0,0,2.3513752571634776,0
208,1,1,0,3.32218303393412,1
209,3,0,0,2.0663309725297405,0
210,3,0,0,3.1146258034944014,0
211,3,0,0,1.9530276168241774,0
212,2,0,0,4.297285406218791,0
213,2,1,1,3.258096538021482,1
214,3,1,4,2.0509134580652977,1
215,1,0,0,3.7495040759303713,0
216,3,1,0,2.0642263758733557,1
217,1,0,1,5.1051372686027685,1
218,1,1,1,5.354224998486333,1
219,3,0,0,2.0856720914304723,0
220,2,1,1,2.6288843311163475,1
221,3,0,0,2.0856720914304723,0
222,2,1,0,2.3513752571634776,1
223,3,0,0,2.0535851271346086,0
224,1,1,0,3.3122131507845287,1
225,3,1,0,2.7243040552851014,0
226,3,0,0,2.0535851271346086,0
227,3,1,0,2.0476928433652555,1
228,3,0,0,2.714694743820879,0
229,2,0,0,2.5649493574615367,0
230,2,0,0,4.174387269895637,0
231,1,1,0,3.279029747687948,1
232,3,0,1,1.8711558142080713,0
233,3,0,0,2.0642263758733557,0
234,1,0,1,4.26666207838721,0
235,3,0,0,2.061048420562944,0
236,1,0,1,4.3208159036289855,0
237,3,0,0,1.9775472339984959,0
238,2,1,1,2.5649493574615367,1
239,1,1,1,4.667440511714216,1
240,1,1,0,3.32218303393412,1
241,2,1,0,3.4011973816621555,1
242,1,0,1,4.901564199041894,1
243,3,0,0,2.0652792278673315,0
244,3,0,1,3.1548704948922883,0
245,1,0,1,3.948595985658986,1
246,2,1,0,3.044522437723423,1
247,2,0,1,3.481240089335692,0
248,2,1,1,3.258096538021482,1
249,3,1,1,2.6709850297651974,0
250,2,1,1,3.3232358401924436,1
251,3,0,0,2.0700223197633445,0
252,1,0,1,4.9183679468445405,1
253,3,0,0,2.2326989655298792,0
254,3,0,0,2.2512917986064953,0
255,3,0,0,2.0215475632609334,0
256,3,0,0,2.0476928433652555,0
257,3,0,0,2.0856720914304723,0
258,2,1,0,2.5649493574615367,1
259,3,0,0,2.0509134580652977,0
260,3,0,1,2.856470206220483,1
261,3,0,0,2.061048420562944,0
262,2,1,0,3.1354942159291497,1
263,3,1,1,2.500066161545823,0
264,2,0,0,2.5445503985488434,0
265,3,0,0,2.0663309725297405,0
267,3,0,0,2.0215475632609334,0
268,3,1,0,2.0856720914304723,0
269,3,0,0,2.1590033645160216,0
270,1,0,0,4.32070559854228,0
271,3,0,0,2.0476928433652555,0
272,1,1,1,4.9183679468445405,1
273,3,1,1,2.740840023925201,1
274,3,0,0,1.9775472339984959,0
275,2,1,1,3.258096538021482,1
276,2,0,0,2.3513752571634776,0
277,2,0,1,3.258096538021482,0
278,2,0,1,3.044522437723423,0
279,2,0,0,2.3513752571634776,0
280,3,1,0,2.1590033645160216,0
281,3,0,1,2.622855355038978,0
282,3,1,0,2.0476928433652555,1
283,3,1,1,2.7243040552851014,1
284,3,1,1,3.006301224903225,1
285,3,0,0,1.9810014688665833,0
286,3,0,0,1.9810014688665833,0
287,1,0,1,4.409966408549427,1
289,3,0,0,2.0856720914304723,0
290,1,0,0,3.6788291182604347,0
291,3,1,0,1.9387416595767009,1
292,3,0,0,1.9781283799793465,0
293,1,0,1,4.404989703685167,1
294,3,0,0,2.2512917986064953,0
295,3,0,0,2.0663309725297405,0
296,2,1,1,3.7276000422255353,1
297,3,0,2,3.0763532755216065,0
298,1,0,0,3.817712325956905,0
299,3,0,0,2.061048420562944,0
300,3,0,0,2.0509134580652977,0
301,2,0,0,2.711098882480229,0
302,2,0,0,3.044522437723423,0
303,3,0,0,2.1590033645160216,0
304,3,1,0,2.0476928433652555,1
305,1,1,1,3.279029747687948,1
306,1,0,1,5.020915603503812,1
307,3,0,0,2.2353763433005955,0
308,1,0,1,4.537961436294641,0
309,3,1,1,2.6467632766784814,0
310,3,0,0,2.1590033645160216,0
311,3,0,0,1.9775472339984959,0
312,3,0,0,2.024853351395433,0
313,3,1,0,2.0476928433652555,1
314,1,1,0,4.909954920578875,1
315,3,1,0,2.0455356796500372,1
316,1,0,1,4.9871673979011675,1
317,2,0,0,2.3513752571634776,0
318,3,0,0,2.061048420562944,0
319,2,0,2,3.449987545831587,0
320,3,0,0,2.0509134580652977,0
322,2,0,0,2.5649493574615367,0
323,1,0,0,3.279029747687948,1
324,1,1,0,5.353456381663085,1
325,3,0,0,1.9530276168241774,0
326,2,1,2,3.6635616461296463,1
327,1,0,0,4.37197629882038,0
328,2,0,1,3.258096538021482,0
329,2,0,0,2.5649493574615367,0
330,2,1,0,3.6041382256588457,1
331,1,0,0,3.391147045808654,1
332,3,0,0,1.9775472339984959,0
333,3,1,1,2.7563132422397203,1
334,3,0,0,2.0663309725297405,0
335,1,0,0,3.258096538021482,1
336,2,0,0,2.5649493574615367,0
337,3,0,0,1.9781283799793465,0
338,2,0,0,3.449987545831587,0
339,3,0,0,1.9781283799793465,0
340,2,0,0,2.3513752571634776,0
341,3,0,0,2.0254076531873504,0
342,3,0,1,4.242045918369452,0
343,1,1,0,6.238967387173662,1
344,3,0,1,2.6741486494265287,0
345,3,1,0,2.0347056478384444,1
346,2,0,0,2.5649493574615367,0
347,3,1,0,1.9781283799793465,1
348,2,0,0,2.6026896854443837,0
349,2,1,0,3.044522437723423,1
350,1,1,0,4.148805916338137,1
351,2,0,0,2.3513752571634776,0
352,2,0,0,4.297285406218791,0
353,2,0,1,4.174387269895637,0
354,3,1,1,3.0240767465631335,1
355,1,0,0,3.258096538021482,1
356,1,1,2,3.9411778425916384,1
357,3,0,0,2.0642263758733557,0
358,3,0,0,2.0476928433652555,0
359,3,1,1,2.744060638625243,1
360,3,0,8,4.242045918369452,0
361,2,1,1,3.6110314197155664,1
362,2,1,0,3.044522437723423,1
363,3,0,0,2.1590033645160216,0
364,1,1,1,4.015332018192187,1
365,3,1,1,4.242045918369452,0
366,3,0,1,2.671268644120752,0
367,3,1,0,3.6810362766529106,0
368,1,1,0,4.084294226368599,1
369,2,0,0,2.6288843311163475,0
370,2,0,1,2.4423470353692043,0
371,1,1,0,4.901564199041894,1
373,2,0,0,2.5649493574615367,0
374,1,1,1,4.404989703685167,1
375,1,1,0,5.569774778140797,1
376,3,1,2,2.1590033645160216,1
377,2,0,0,2.4423470353692043,0
378,1,0,0,3.912023005428146,0
379,3,0,4,3.4464097244837033,0
380,3,0,0,2.0476928433652555,0
381,3,0,0,2.0642263758733557,0
382,3,1,0,2.6741486494265287,0
383,3,1,1,2.7788192719904172,1
384,2,0,0,2.5552874465497997,0
385,2,1,1,4.174387269895637,1
386,3,0,0,2.0509134580652977,0
387,2,0,0,2.5649493574615367,0
388,3,0,0,2.0476928433652555,0
389,3,0,3,3.048087503887919,0
390,1,0,0,4.537961436294641,0
391,1,1,0,3.673765816303888,1
392,3,0,0,3.0081547935525483,0
393,2,0,0,2.3513752571634776,0
394,3,0,3,3.092178171822243,0
395,1,1,1,4.0943445622221,1
396,3,0,0,1.9810014688665833,0
397,1,1,1,4.37197629882038,1
398,3,0,0,2.0509134580652977,0
399,3,0,0,2.0455356796500372,0
400,1,1,0,5.1051372686027685,1
401,2,0,1,3.044522437723423,0
402,1,1,0,4.084294226368599,1
403,1,0,0,3.8522730010223722,0
404,1,0,1,3.32218303393412,1
405,2,0,0,2.6291873526764853,0
406,2,0,1,2.3513752571634776,0
407,1,0,1,5.354224998486333,1
408,3,1,0,2.043917985610789,1
409,3,1,1,2.622855355038978,0
410,3,1,0,2.0476928433652555,1
411,1,1,1,4.499809670330265,1
412,3,1,0,2.0509134580652977,0
413,3,0,0,2.0856720914304723,0
414,1,1,0,4.690430029938915,1
415,3,0,0,1.9810014688665833,0
416,3,0,0,2.0856720914304723,0
417,3,0,1,3.107197616774036,0
